,Comments
0,"Bo Hodiak
8 days ago
I am a Ukrainian-American, fluent in Ukrainian and a retired journalist. I want to thank you for a superb explanation. In such a brief amount of time you covered everything important and completely accurately. Thank you.
19K
REPLY"
1,"Jay Cosgrove
21 hours ago
Talk about giving it in a nutshell.  That was brilliant.  I have been trying to get a straight answer to this situation since it started and I haven't found one - until now.  Awesome report/history lesson in one.
45
REPLY"
2,"meena meena
1 day ago
Thank you so very much for providing  an extremely  comprehensive 10 min.  historical summary  and analysis of  the Russian/Ukrainian conflict that  is occurring in 2022. I'll be sure to tune into your channel to attain future information as the conflict  ensues.
34
REPLY"
3,"pooja ketaruth
1 day ago
Palki Sharma and the whole Wion team. This is brilliant content. Kudos guys. The world craves this kind of journalism💯💯💯💯
37
REPLY"
4,"Toti Magalogo
3 days ago
Great explanation of history's and its so clear. I'm not Russian nor Ukrainian but as she said clearly, the world has moved on. I only hoped Russian's and Ukrainian's can restore ✌ ☮ 🥰
15
REPLY"
5,"Babelyn Malate
2 days ago
I'm totally lost about this issue but this video cleared most of it and gave me that information. Thanks for this report.
28
REPLY"
6,"Lana Mirman
11 days ago
im Ukrainian, and i am blown away by this clear and accurate explanation about my motherland. thank you so much!
3.2K
REPLY"
7,"T Lashai
1 day ago (edited)
Very well put, in the beginning I was puzzled and kept asking questions as to what is going on. You put all the pieces together in minutes, I enjoy a good history lesson, thank you 🙏🏾
15
REPLY"
8,"Ezio Auditore
2 days ago
This video is partly correct but misses a couple of crucial points. The EU has been meddling in Ukraine for years and this has aggravated Russia. This didn't get a mention here. But more importantly, natural gas was found off Crimea in the Black Sea a while back. Shell was drilling for it in 2014 when Russia took the territory from Ukraine. They seized Shell's equipment and are using it right now to drill. That's why they built a $4Bn bridge linking it to the mainland and are now attempting to ling up captured territory in south of Ukraine through Mariupol. There are also massive shale gas deposits in the eastern Donbas region. Putin doesn't want Ukraine as a direct competitor on its doorstep supplying the West with energy as that could well cripple Russia's economy. There's much more to this than 'rescuing' poor ethnic Russians, and much more than historical ties, both of which are nothing more than a fig leaf.
Read more
51
REPLY"
9,"JOHN’S GUITAR, MUSIC AND DEMOS
1 day ago
My heart goes out to the people of both Russia and the Ukraine. We have to learn to separate the people from the politics.
36
REPLY"
10,"M G
12 hours ago
This is an clear, succinct, and understandable explanation and I’m so grateful I ran across it!
6
REPLY"
11,"Jane Camilleri Haber
1 day ago
just superb! in a very short time you gave a balanced overview of the relationship between Ukraine and Russia and the history which nurtured the present conflict. the last sentence wraps it all up. Putin does not realise that time has moved on. thanks
8
REPLY"
12,"No Se
8 days ago (edited)
This is how journalism should be. Unfiltered and straight to the point!  Bravo 👏🏻
5.5K
REPLY"
13,"Mr Berryman
1 day ago (edited)
This is the clearest explanation I've ever come across.  I really wish British journalists could deliver such succinct factual clarity.  Thanks!
137
REPLY"
14,"Klara L
2 days ago
Such a fine explanation! I really appreciate you delving so far into the past, it is neccessary to understand what´s going on. This was like a crash course in history that many people need. Thank you.
230
REPLY"
15,"Graeme Smith
1 day ago
Absolutely outstanding summary.  Who’d have thought that the best summary of the whole situation would come from a country as far removed from Russia as India.  I will be following the rest of the Gravitas reports if they are all as good as this one was.
6
REPLY"
16,"Joshua Carvalho
3 days ago
Thank you for an educated, thorough explanation of the current conflict. It's so true that nearly everything that happens in present times is tied to history...especially in the Old World.
247
REPLY"
17,"The way we were
1 day ago
I love when she says ""the world has moved on""  meaning he has to realize we're in the 21st century. People are really sick of this man even in his own country.
41
REPLY"
18,"RC D
11 days ago
""Past imperialism cannot justify present day expansionism"" very well said
1.8K
REPLY"
19,"NAE2000
2 days ago
Thank you! I've read much on the Russia Ukraine issue - you told a complex story in a concise manner without unnecessary cometary, yet personalized the conflict well enough to communicate both sides passionately. I'll share this post as a means to help others understand what's going on.
48
REPLY"
20,"RoniSue's Channel
9 days ago
I can't thank you enough for this detailed overview! Americans are grappling for understanding of the Russian-Ukraine conflict, but our media only reports simplistic aspects of it, seeking primarily to shock and fuel anxiety. You are educating and informing. Thank you so much!
2.3K
REPLY"
21,"Juleth Dennie
3 days ago
Your explanation of the issue was so clear that for those of us who aren’t well versed in the history of these two countries, now have a better understanding of why the world is at an uproar over what’s happening.
Thank you for
521
REPLY"
22,"Suki Jay
1 day ago
Real journalism! And there was me thinking it was extinct. I needed that lesson as my knowledge of Russia and Ukraine was fragmented to say the least.
4
REPLY"
23,"madison thomas
2 days ago
The best part: ""He did not realize, the world has moved on""...May God protect us all.
13
REPLY"
24,"James Cliff
1 day ago
To be clear, if U.S. was in Russia's position, we would have done exactly the same.
23
REPLY"
25,"Lily Sanchez
2 days ago
I have nothing to say other then.....That was amazing. Thank you so much for not only a great, unbiased history lesson. But for an entertaining one that kept my intrigue throughout all 9 mins.
40
REPLY"
26,"Kich 6
7 days ago
""Past imperialism cannot justify present day expansionism.""  Well said!  Thank you for posting this explanation.
1.3K
REPLY"
27,"SNEAKY doodLE
3 days ago
It's weird watching a news piece and not feeling like the reporter is completely biased. Thanks for all the good work!
106
REPLY"
28,"J Huntoon
3 days ago
Outstanding, thank you. An exceptional explanation of the background and history of this issue.
3
REPLY"
29,"Ahmed Al-Hassan
2 days ago
Well researched and well presented.Oh Lord provide peace to those twin countries and the world at large.
3
REPLY"
30,"E W
3 days ago
Thank you for the history outstanding. Prayers and support to the Ukrainian people.
3
REPLY"
31,"Michael Voytko
3 days ago
This is such an amazingly done video! Thank you so much for explaining this topic in such an easy to understand yet nuanced way!
23
REPLY"
32,"mrcead
7 days ago
I've watched 3 hours of western media coverage of what's going on between Russia, excuse me, Vladimir Putin and Ukraine and I still didn't understand why. Palki explained it perfectly in under 10 minutes 👏🏿👏🏿👏🏿 thank you
1.1K
REPLY"
33,"Brian Davenport
3 days ago
Thank you for explaining why Russia is at war! I am not a big war/ history type person, I'm more of a sports person. Once I heard that my sports are beginning to boycott Russia I had to dig deeper into this topic. Again thank you for explaining this war situation in an easy to understand way for us sports people!
51
REPLY"
34,"Stephen Scott
3 days ago
this was seriously the best short summary with as little bias as possible piece i ever seen. whoever worked on this deserves a trophy. this was as down the middle not ignoring one side as you could probably get. well done. i haven't seen media like this since i was a toddler
69
REPLY"
35,"Greg Gutierrez
2 days ago
So well done. If only more people studied and learned so they actually understood other societies and global politics. Glad you're presenting the historical facts. And all it took less than 10 minutes!
30
REPLY"
36,"Δημητρης Λαζαριδης
2 days ago
I would love history if i had her for a teacher very well and clear said overall nicely explained i understood more in less time 💯💯
13
REPLY"
37,"ronenbunch
2 days ago
This was an absolutly amazing cover of the origins of the crisis! Thank you so very much
REPLY"
38,"Interesting History
8 days ago
Imagine if all the Soldiers refused to fight.
2.9K
REPLY"
39,"E.C. Alexander
3 days ago
Thank you for the best information about this conflict in terms of history lessons, the important leading events, the subsequent outcomes, and the political objectives.
19
REPLY"
40,"cornflake73
10 days ago
What a brief but an in-depth report of the Ukraine History. You and your staff do a real service to not only Russia, but the US citizen, and the world as a whole. I love history, but this really helps me to put things in better perspective. Thank you
2.1K
REPLY"
